policy_name,budget,n_seeds,mean_error,median_error,error_p25,error_p75,policy_wins_vs_uniform,win_rate_vs_uniform,mean_relative_error_vs_uniform,median_relative_error_vs_uniform,relative_error_p25_vs_uniform,relative_error_p75_vs_uniform,policy_label,policy_order
stochastic_exploration_bonus_c1.0,1035,30,3.889903573931326e-06,3.297688558939324e-06,2.0342922262024507e-06,5.105863010229988e-06,20.0,0.6666666666666666,1.023869551959481,0.7977345660981939,0.6114462511039497,1.0601060002968912,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,1080,30,4.142480548678449e-06,3.3878138919336553e-06,2.2062959294773563e-06,5.446245398131559e-06,11.0,0.36666666666666664,1.908580495962189,1.2648209067646459,0.7538985161742563,1.781124223163793,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,1125,30,3.5905819683103167e-06,2.7633198203290204e-06,1.8372838766902392e-06,4.090228089711722e-06,17.0,0.5666666666666667,1.1697406018813503,0.8737122603924485,0.6826676444237678,1.4544036536880727,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,1170,30,3.3894093317787894e-06,2.4033696011104458e-06,1.9707536998370593e-06,3.453620715555996e-06,18.0,0.6,1.1889696816988429,0.7431540492440403,0.6024965580472103,1.5680903325172617,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,1215,30,4.732104098545018e-06,3.382340121106146e-06,2.0143291751281146e-06,4.999103952638329e-06,16.0,0.5333333333333333,1.7642448155241426,0.8619508378787677,0.5942882007527792,1.973020365343576,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,1260,30,2.9750919818655344e-06,1.946797917680464e-06,1.4844907756446895e-06,3.667231613541437e-06,20.0,0.6666666666666666,1.2699548509046479,0.7015776956557277,0.45696584400564316,1.8017775656974349,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,1305,30,3.774951521838223e-06,3.546306679694778e-06,1.7941104486074305e-06,5.753358086471366e-06,13.0,0.43333333333333335,1.6062712940163073,1.2574259899354705,0.5962881539431775,2.2146598817591583,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,1350,30,3.1713940811266143e-06,2.6510608772762795e-06,2.033534083087399e-06,4.215978126385976e-06,13.0,0.43333333333333335,1.322463293184255,1.1767596133689457,0.5903818519269132,1.7916178121555795,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,1395,30,2.5786028092198073e-06,1.9215351496344743e-06,1.3157095023108828e-06,3.3405786304968683e-06,19.0,0.6333333333333333,1.1157189927733502,0.5763628123059134,0.28950495010617183,1.4438234965662153,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,1440,30,3.0439319988564003e-06,2.3903792039728403e-06,1.4499130514717636e-06,4.7427446641156655e-06,15.0,0.5,1.3508573801436863,0.9844002913632167,0.42961578990464006,1.841472562296767,Stoch bonus c=1.0,2
